4	4	3	4
12	4	4	4
22	5	2	4
13	5	5	4
17	2	2	4
10	2	5	4
3	3	3	4
9	1	4	4
3	4	4	4
13	4	4	4
22	4	4	4
27	4	6	4
19	7	4	4
14	6	5	4
22	6	5	4
15	6	5	4
19	7	7	4
9	1	3	4
19	6	7	4
9	2	2	4
19	6	5	4
28	3	7	4
18	6	4	4
9	1	1	4
18	4	6	4
29	4	6	4
19	6	7	4
28	2	6	4
16	1	0	4
25	0	5	4
21	0	5	4
24	1	7	4
19	6	2	4
29	3	5	4
4	4	4	4
29	1	3	4
2	2	2	4
26	0	5	4
2	1	3	4
24	1	3	4
4	4	5	4
28	3	7	4
19	6	7	4
28	4	6	4
19	5	6	4
28	3	5	4
19	5	7	4
28	4	5	4
19	1	3	4
26	3	2	4
19	1	2	4
28	4	4	4
19	3	2	4
28	5	3	4
16	1	1	4
10	2	4	4
16	1	4	4
11	3	5	4
19	3	5	4
28	4	3	4
16	2	4	4
8	0	4	4
19	3	4	4
28	5	3	4
19	5	4	4
