4	4	3	4
11	3	4	4
4	4	4	4
13	5	5	4
4	5	5	4
12	5	5	4
19	7	4	4
14	6	5	4
17	2	2	4
14	7	4	4
3	3	3	4
30	4	6	4
18	6	4	4
12	6	4	4
17	3	4	4
30	3	4	4
21	2	3	4
30	2	2	4
1	2	2	4
27	3	3	4
1	3	3	4
29	2	4	4
1	2	4	4
26	7	2	4
22	7	2	4
25	2	5	4
22	5	3	4
28	2	7	4
21	0	5	4
9	0	5	4
20	6	0	4
12	5	3	4
16	1	0	4
24	3	0	4
23	3	0	4
25	3	3	4
23	3	3	4
12	5	2	4
16	1	7	4
28	1	7	4
6	5	2	4
31	4	7	4
20	5	0	4
28	2	7	4
23	3	7	4
28	3	7	4
1	2	5	4
31	4	0	4
20	4	0	4
28	4	6	4
20	3	1	4
28	3	5	4
20	2	2	4
28	2	5	4
6	5	3	4
9	0	4	3
6	5	4	3
28	2	4	3
6	5	5	3
28	3	4	3
6	5	6	3
28	4	4	3
6	5	7	3
28	5	3	3
20	2	3	3
10	2	4	3
20	2	4	3
28	5	2	3
20	1	4	3
28	5	1	3
20	0	4	3
8	0	5	3
20	0	5	3
14	7	3	3
2	2	3	3
14	7	2	3
20	1	4	3
28	6	1	3
2	2	4	3
28	7	1	3
2	2	5	3
28	6	2	3
0	0	2	3
14	7	1	3
0	0	3	3
14	7	0	3
2	2	6	3
14	2	5	3
20	2	5	3
15	7	4	3
20	3	5	3
28	5	1	3
20	4	4	3
15	7	3	3
20	5	3	3
28	4	1	3
20	6	3	3
28	3	2	3
20	7	3	3
28	2	3	3
0	0	4	3
28	1	4	3
0	0	5	3
28	0	5	3
2	2	7	3
28	0	4	3
2	4	5	3
28	1	5	3
20	6	4	3
28	1	6	3
6	4	6	3
28	2	6	3
20	5	4	3
28	1	5	3
2	3	6	3
28	2	6	3
2	0	3	3
28	1	5	3
6	1	3	3
28	1	6	3
20	4	4	3
28	1	7	3
20	3	5	3
28	1	6	3
2	1	4	3
28	1	5	3
2	3	6	3
28	1	6	3
6	2	4	3
28	0	5	3
20	3	4	3
28	1	6	3
6	3	5	3
28	1	5	3
2	0	3	3
28	1	6	3
6	2	4	3
28	0	5	3
20	2	3	3
28	0	4	3
2	3	6	3
28	0	5	3
20	1	3	3
28	1	6	3
2	1	4	3
28	1	7	3
20	0	4	3
28	2	6	3
6	5	7	3
28	3	7	3
20	1	5	3
28	2	7	3
2	2	5	3
28	1	7	3
20	2	4	3
28	2	6	3
6	3	5	3
28	2	7	3
20	3	4	3
28	3	7	3
6	2	4	3
28	2	7	3
6	1	5	3
28	1	7	3
20	3	5	3
28	2	7	3
20	2	4	3
28	1	7	3
20	1	4	3
28	2	7	3
20	2	4	3
28	1	7	3
2	3	4	3
28	2	7	3
20	2	5	3
28	1	7	3
6	2	6	3
28	2	7	3
2	4	5	3
