4	4	3	4
12	4	4	4
22	5	2	4
25	2	5	4
17	2	2	4
30	5	5	4
3	3	3	4
29	1	3	4
3	4	4	4
30	4	3	4
18	3	1	4
11	3	4	4
3	3	5	4
30	3	5	4
0	0	2	4
29	2	2	4
18	2	2	4
26	6	3	4
18	6	6	4
31	6	7	4
18	2	2	4
27	4	6	4
21	4	1	4
30	1	4	4
20	6	0	4
26	7	2	4
23	4	0	4
30	2	2	4
1	2	2	4
26	6	1	4
21	1	4	4
26	5	2	4
20	5	0	4
26	3	0	4
16	3	0	4
27	4	0	4
16	4	0	4
28	5	7	4
16	3	0	4
25	4	4	4
5	5	3	4
25	5	2	4
16	3	6	4
10	2	5	4
21	2	3	4
31	6	6	4
16	1	6	4
25	7	1	4
20	5	1	4
15	7	4	4
5	5	4	4
15	7	3	4
5	5	5	4
25	6	3	4
20	5	2	4
25	5	5	4
16	1	0	4
15	7	2	4
16	7	0	4
25	7	6	4
21	5	0	4
25	6	4	4
20	4	2	4
24	4	7	4
20	3	1	4
15	7	1	4
1	2	3	4
25	5	2	4
20	2	2	4
31	6	0	4
16	6	0	4
25	6	0	4
21	6	1	4
25	4	1	4
20	3	2	4
25	5	3	4
20	3	3	4
25	6	1	4
20	2	4	4
15	7	0	4
0	0	3	4
24	4	4	4
20	1	3	4
25	4	2	4
20	1	2	4
15	1	0	4
20	2	2	4
15	2	1	4
20	1	3	4
15	2	3	4
20	0	2	4
25	2	1	4
20	1	1	4
24	4	1	4
20	2	0	4
25	0	2	4
20	3	0	4
15	2	1	4
